TotalPop,Hispanic,White,Black,Asian,STATE,COUNTY,TRACT,BLOCK,GEOID
0,0,0,0,0,36,005,000100,0002,360050001000002
171,75,8,87,0,36,005,000100,1000,360050001001000
367,110,17,234,1,36,005,000100,1002,360050001001002
1890,599,90,1175,26,36,005,000100,1003,360050001001003
0,0,0,0,0,36,005,000100,0001,360050001000001
1344,475,145,676,32,36,005,000100,1001,360050001001001
0,0,0,0,0,36,005,000200,0001,360050002000001
274,224,2,33,8,36,005,000200,1001,360050002001001
306,216,6,72,0,36,005,000200,1002,360050002001002
276,183,10,77,1,36,005,000200,1003,360050002001003
164,114,4,31,5,36,005,000200,1004,360050002001004
0,0,0,0,0,36,005,000200,1005,360050002001005
195,143,2,14,21,36,005,000200,2000,360050002002000
220,193,4,12,7,36,005,000200,2001,360050002002001
242,188,2,42,8,36,005,000200,2002,360050002002002
221,153,9,36,14,36,005,000200,2003,360050002002003
166,110,0,53,0,36,005,000200,2004,360050002002004
63,40,0,7,5,36,005,000200,2005,360050002002005
784,399,27,303,28,36,005,000200,2006,360050002002006
112,64,15,20,3,36,005,000200,2007,360050002002007
54,40,0,9,0,36,005,000200,2008,360050002002008
156,96,0,39,3,36,005,000200,3000,360050002003000
147,103,2,15,17,36,005,000200,3001,360050002003001
57,36,3,6,2,36,005,000200,3002,360050002003002
34,22,1,0,4,36,005,000200,3003,360050002003003
125,98,0,10,8,36,005,000200,3005,360050002003005
32,18,0,10,0,36,005,000200,3006,360050002003006
31,22,5,3,0,36,005,000200,3008,360050002003008
20,15,0,3,2,36,005,000200,3009,360050002003009
103,48,11,35,8,36,005,000200,3011,360050002003011
99,57,0,32,9,36,005,000200,3012,360050002003012
16,11,1,1,2,36,005,000200,3013,360050002003013
27,16,0,11,0,36,005,000200,3015,360050002003015
3,1,0,0,2,36,005,000200,3016,360050002003016
11,8,0,3,0,36,005,000200,3018,360050002003018
23,19,1,1,0,36,005,000200,3019,360050002003019
47,46,0,0,1,36,005,000200,3021,360050002003021
43,34,4,3,2,36,005,000200,3022,360050002003022
18,12,0,0,2,36,005,000200,3024,360050002003024
34,15,7,5,3,36,005,000200,3025,360050002003025
310,213,9,59,8,36,005,000200,1000,360050002001000
45,33,0,6,3,36,005,000200,3004,360050002003004
108,57,2,29,14,36,005,000200,3007,360050002003007
62,23,8,19,9,36,005,000200,3010,360050002003010
60,45,8,2,0,36,005,000200,3014,360050002003014
24,13,0,5,0,36,005,000200,3017,360050002003017
19,18,1,0,0,36,005,000200,3020,360050002003020
18,11,3,0,0,36,005,000200,3023,360050002003023
30,16,5,5,3,36,005,000200,3026,360050002003026
0,0,0,0,0,36,005,000400,0001,360050004000001
0,0,0,0,0,36,005,000400,0002,360050004000002
564,397,26,89,28,36,005,000400,1000,360050004001000
43,37,0,0,0,36,005,000400,1002,360050004001002
132,107,0,10,11,36,005,000400,1003,360050004001003
36,20,0,7,4,36,005,000400,2000,360050004002000
0,0,0,0,0,36,005,000400,2001,360050004002001
251,160,5,76,1,36,005,000400,2003,360050004002003
137,115,3,9,7,36,005,000400,2004,360050004002004
250,175,20,37,15,36,005,000400,2006,360050004002006
457,227,29,153,32,36,005,000400,3000,360050004003000
184,126,16,39,3,36,005,000400,3001,360050004003001
192,113,29,31,7,36,005,000400,3002,360050004003002
169,120,7,26,2,36,005,000400,3003,360050004003003
54,33,0,11,0,36,005,000400,3004,360050004003004
1029,528,44,417,16,36,005,000400,3005,360050004003005
54,30,0,16,2,36,005,000400,3006,360050004003006
169,97,7,60,2,36,005,000400,3007,360050004003007
576,322,8,228,10,36,005,000400,3008,360050004003008
100,73,0,21,2,36,005,000400,3009,360050004003009
111,67,2,38,0,36,005,000400,3010,360050004003010
245,185,3,48,0,36,005,000400,4000,360050004004000
170,88,4,65,3,36,005,000400,4001,360050004004001
108,50,2,24,27,36,005,000400,4002,360050004004002
174,107,0,59,4,36,005,000400,4004,360050004004004
0,0,0,0,0,36,005,000400,4005,360050004004005
279,202,2,41,13,36,005,000400,1001,360050004001001
29,18,0,2,0,36,005,000400,1004,360050004001004
587,452,19,54,37,36,005,000400,2002,360050004002002
172,123,12,31,4,36,005,000400,2005,360050004002005
0,0,0,0,0,36,005,000400,4003,360050004004003
2455,1298,27,1059,12,36,005,001600,1000,360050016001000
329,241,10,55,0,36,005,001600,2001,360050016002001
61,53,0,6,0,36,005,001600,2002,360050016002002
276,181,15,38,26,36,005,001600,2004,360050016002004
31,14,8,6,3,36,005,001600,2005,360050016002005
0,0,0,0,0,36,005,001600,4000,360050016004000
214,103,25,81,4,36,005,001600,4001,360050016004001
0,0,0,0,0,36,005,001600,4003,360050016004003
0,0,0,0,0,36,005,001600,4004,360050016004004
63,44,0,4,3,36,005,001600,4005,360050016004005
386,258,2,101,16,36,005,001600,4007,360050016004007
316,203,3,78,18,36,005,001600,4008,360050016004008
164,109,5,44,0,36,005,001600,4010,360050016004010
313,265,3,26,3,36,005,001600,2000,360050016002000
0,0,0,0,0,36,005,001600,2003,360050016002003
745,437,5,290,1,36,005,001600,3000,360050016003000
0,0,0,0,0,36,005,001600,4002,360050016004002
303,187,10,77,15,36,005,001600,4006,360050016004006
139,86,8,19,21,36,005,001600,4009,360050016004009
0,0,0,0,0,36,005,001901,1003,360050019011003
0,0,0,0,0,36,005,001901,1000,360050019011000
0,0,0,0,0,36,005,001901,1002,360050019011002
88,53,1,32,0,36,005,001901,1005,360050019011005
27,14,2,0,0,36,005,001901,1006,360050019011006
